WKT;Tipo;Nombre de las calles;País;Departamento;Provincia;Distrito;Ubigeo;Nombre del personaje
LINESTRING (-77.075004 -11.9803015, -77.0746902 -11.980312, -77.0742557 -11.9803513, -77.0739928 -11.9803671, -77.0737353 -11.9804064);Calle;Calle Elvira Rodriguez;Perú;Lima;Lima;Los Olivos;150117;María Elvira Rodríguez Lorente
LINESTRING (-76.9971263 -12.1122311, -76.9962466 -12.1121943, -76.9958067 -12.1121891, -76.9954795 -12.1121629);Calle;Calle Emily Car;Perú;Lima;Lima;Surquillo;150141;Emily Carr
LINESTRING (-77.0811514 -12.0836057, -77.0799256 -12.0842326, -77.0796467 -12.0843716);Calle;Calle Ermelinda Carrera;Perú;Lima;Lima;San Miguel;150136;Ermelinda Carrera y del Valle
LINESTRING (-76.9420506 -12.2172111, -76.9414618 -12.2168795, -76.9413089 -12.2167904, -76.9409039 -12.2165741, -76.9404426 -12.2163093);Calle;Calle Filomena Cabello;Perú;Lima;Lima;Villa El Salvador;150142;Filomena Cabello
LINESTRING (-77.0755616 -12.0240327, -77.0745102 -12.0244236, -77.0740998 -12.0245784, -77.0734869 -12.0248276, -77.0725964 -12.0251687, -77.0717609 -12.0254913, -77.0717086 -12.0255254);Calle;Calle Flora Tristán;Perú;Lima;Lima;San Martín de Porres;150135;Flora Celestina Teresa Enriqueta de Tristán y Moscoso
LINESTRING (-77.0767615 -12.0231957, -77.0757731 -12.0235748, -77.0755102 -12.0236889);Calle;Calle Flora Tristán;Perú;Lima;Lima;San Martín de Porres;150135;Flora Celestina Teresa Enriqueta de Tristán y Moscoso
LINESTRING (-77.0583042 -12.0965232, -77.0570596 -12.0939215, -77.0565875 -12.0928619, -77.0559116 -12.0915191);Calle;Calle Flora Tristán;Perú;Lima;Lima;Magdalena del Mar;150120;Flora Celestina Teresa Enriqueta de Tristán y Moscoso
LINESTRING (-77.0583042 -12.0965232, -77.0570596 -12.0939215, -77.0565875 -12.0928619, -77.0559116 -12.0915191);Calle;Calle Flora Tristán;Perú;Lima;Lima;San Isidro;150131;Flora Celestina Teresa Enriqueta de Tristán y Moscoso
LINESTRING (-76.930982 -12.195084, -76.9299627 -12.1945701, -76.928686 -12.1937731, -76.9275326 -12.1930915, -76.9262344 -12.1923836, -76.9251616 -12.191702, -76.9241584 -12.1911095, -76.9227368 -12.1902286, -76.9212294 -12.1893005, -76.9198669 -12.188472, -76.9183112 -12.1875334, -76.9179411 -12.1872765, -76.9171579 -12.1867993, -76.9166804 -12.1865162, -76.9164337 -12.1863274, -76.9163961 -12.1862068, -76.9164015 -12.1860075, -76.9164497 -12.1858607, -76.9164015 -12.1856405, -76.9162083 -12.1854412, -76.9155378 -12.1849431, -76.9144327 -12.1841094, -76.9134993 -12.1832704, -76.9131453 -12.1829401, -76.912979 -12.1827303, -76.9129521 -12.1826097, -76.9129414 -12.182358, -76.9129307 -12.1822007, -76.9128073 -12.1820015, -76.9125123 -12.1818337, -76.9122548 -12.1816763, -76.9120938 -12.1814981, -76.9120509 -12.181304, -76.9120295 -12.1810733, -76.9120617 -12.1808793, -76.9121689 -12.180743, -76.912244 -12.1806643, -76.9122548 -12.1805752, -76.9121797 -12.1805123, -76.9120885 -12.1805752, -76.9119651 -12.1807325, -76.9116969 -12.1811834, -76.9114716 -12.1815295, -76.9113375 -12.1818389, -76.9112516 -12.1819385, -76.9110317 -12.1819962, -76.9107957 -12.1818808);Calle;Calle Flora Tristán;Perú;Lima;Lima;Villa María del Triunfo;150143;Flora Celestina Teresa Enriqueta de Tristán y Moscoso
LINESTRING (-77.074638 -11.9201765, -77.0737904 -11.9200899);Calle;Calle Flora Tristán;Perú;Lima;Lima;Los Olivos;150117;Flora Celestina Teresa Enriqueta de Tristán y Moscoso
LINESTRING (-77.0401707 -11.894261, -77.0395645 -11.8939618, -77.0389852 -11.8934683);Calle;Calle Francisca Herrera;Perú;Lima;Lima;Carabayllo;150106;Francisca Herrera
LINESTRING (-77.077607 -12.0834688, -77.0771215 -12.082501, -77.0769606 -12.0820623, -77.0768292 -12.0816617);Calle;Calle Francisca Sánchez de Pagador;Perú;Lima;Lima;San Miguel;150136;Francisca Sánchez de Pagador
