WKT;Tipo;Nombre del jirón;País;Departamento;Provincia;Distrito;Ubigeo;Nombre del Personaje
LINESTRING (-76.9487648 -12.1741546, -76.948349 -12.1738872, -76.9480272 -12.1743251, -76.9475377 -12.1750186, -76.947185 -12.1755547, -76.946442 -12.1767621);Jirón;Jirón María Parado de Bellido;Perú;Lima;Lima;Cercado de Lima;150101;María Andrea Parado Jayo
LINESTRING (-77.0232961 -12.1778177, -77.0231566 -12.1781297, -77.0229367 -12.1784784, -77.0226336 -12.1790028, -77.0223171 -12.1795691, -77.0219523 -12.1801865);Jirón;Jirón María Parado de Bellido;Perú;Lima;Lima;Chorrillos;150109;María Andrea Parado Jayo
LINESTRING (-76.9193543 -12.1921864, -76.9188796 -12.1919255);Jirón;Jirón María Parado de Bellido;Perú;Lima;Lima;Villa María del Triunfo;150143;María Parado de Bellido Jayo
LINESTRING (-77.0871241 -12.078677, -77.0869096 -12.0787741, -77.0865931 -12.0788528, -77.0858608 -12.0788869, -77.0852895 -12.0789079, -77.0851903 -12.0789079, -77.0852037 -12.0789498, -77.08456 -12.0789656, -77.08456 -12.0789, -77.0831491 -12.0789341, -77.0827548 -12.0789393, -77.0822774 -12.0790521, -77.0818161 -12.0792436);Jirón;Jirón Mercedes Gallagher de Parks;Perú;Lima;Lima;San Miguel;150136;Mercedes Alicia Gallagher Ortiz de Villate
LINESTRING (-77.076381 -12.0223682, -77.0755509 -12.0226843, -77.0753658 -12.0226174, -77.0747999 -12.0223197);Jirón;Jirón Mercedes Gallagher;Perú;Lima;Lima;San Martín de Porres;150135;Mercedes Alicia Gallagher Ortiz de Villate
LINESTRING (-77.0224781 -11.9111582, -77.0214588 -11.9111425, -77.0214669 -11.9109955, -77.0206434 -11.9109824, -77.0195572 -11.9111478, -77.0185701 -11.9112816, -77.0170332 -11.911363, -77.0156894 -11.9114312, -77.0147506 -11.9114784, -77.0137233 -11.9112868, -77.0121274 -11.9109404, -77.0110519 -11.9107698, -77.0111001 -11.9104444, -77.0111686 -11.9097878, -77.011328 -11.9095883, -77.0113736 -11.9094414, -77.0113924 -11.9091999, -77.011658 -11.9090661, -77.0117411 -11.9089506, -77.0122132 -11.9089348);Jirón;Jirón Micaela Bastidas;Perú;Lima;Lima;Comas;150110;Micaela Bastidas Puyucahua
LINESTRING (-77.0556328 -11.9938196, -77.0557575 -11.9936202, -77.0560177 -11.9932713, -77.0562055 -11.9930194, -77.0563852 -11.9926626, -77.0564898 -11.9922218, -77.0565032 -11.9918466, -77.0565043 -11.9918324);Jirón;Jirón Micaela Bastidas;Perú;Lima;Lima;Independencia;150112;Micaela Bastidas Puyucahua
LINESTRING (-77.0557836 -11.9939953, -77.0557366 -11.9941147, -77.0556602 -11.9942996, -77.0555086 -11.9945633, -77.0553678 -11.9947679);Jirón;Jirón Micaela Bastidas;Perú;Lima;Lima;Independencia;150112;Micaela Bastidas Puyucahua
LINESTRING (-77.0434566 -11.9730269, -77.0432018 -11.9729915, -77.0429738 -11.9730217, -77.0428785 -11.9731463, -77.0427042 -11.9734467, -77.0422469 -11.9738849);Jirón;Jirón Micaela Bastidas;Perú;Lima;Lima;Independencia;150112;Micaela Bastidas Puyucahua
LINESTRING (-76.9495997 -12.0659954, -76.9489345 -12.0656465, -76.9477838 -12.0650301, -76.9469872 -12.0646288, -76.9456407 -12.0639259);Jirón;Jirón Micaela Bastidas;Perú;Lima;Lima;La Molina;150114;Micaela Bastidas Puyucahua
LINESTRING (-77.0339031 -11.9158578, -77.0330904 -11.9158368);Jirón;Jirón Micaela Bastidas;Perú;Lima;Lima;Comas;150110;Micaela Bastidas Puyucahua
LINESTRING (-77.0381698 -11.8941166, -77.0377997 -11.8945024, -77.0377111 -11.8946809, -77.0377997 -11.8950037, -77.0380759 -11.895778);Jirón;Jirón Nicolasa Torres;Perú;Lima;Lima;Carabayllo;150106;Nicolasa Torres
LINESTRING (-77.0801217 -12.0808827, -77.0799957 -12.0805784, -77.0798656 -12.0802663, -77.0797798 -12.0800958, -77.0797087 -12.0799306, -77.0795786 -12.0797011, -77.079529 -12.0795896, -77.0795062 -12.0794467, -77.0795357 -12.0793942, -77.0796014 -12.0792998, -77.0797114 -12.0792369, -77.0800279 -12.0791425, -77.0801834 -12.0790926);Jirón;Jirón Rosa Mercedes Ayarza de Morales;Perú;Lima;Lima;San Miguel;150136;Rosa Mercedes Ayarza de Morales
LINESTRING (-77.1002977 -12.078122, -77.0985757 -12.0789508);Jirón;Jirón Rosa Merino;Perú;Lima;Lima;San Miguel;150136;Rosa Merino
LINESTRING (-76.9851084 -11.9528999, -76.9840302 -11.9550779, -76.9837164 -11.9557261, -76.9833677 -11.9563585);Jirón;Jirón Rosa Merino ;Perú;Lima;Lima;San Juan de Lurigancho;150132;Rosa Merino 
LINESTRING (-77.0883394 -12.0238884, -77.0877868 -12.0228364);Jirón;Jirón Rebeca Carrión;Perú;Lima;Lima;San Martín de Porres;150135;Rebeca Carrión Cachot
LINESTRING (-77.0472856 -12.058781, -77.0461376 -12.0597095, -77.045274 -12.06036);Jirón;Jirón Rebeca Oquendo;Perú;Lima;Lima;Breña;150105;Rebeca Oquendo de Subercaseaux
LINESTRING (-77.0524193 -11.9611991, -77.0523844 -11.9609813, -77.0521376 -11.960349, -77.0518158 -11.959504, -77.0513464 -11.9582996, -77.0502976 -11.9555103, -77.0497451 -11.9541091, -77.0495265 -11.9534531, -77.0493334 -11.9529676, -77.0491818 -11.9525976, -77.0489592 -11.9519849, -77.0488747 -11.9517395);Jirón;Jirón Santa Rosa;Perú;Lima;Lima;Comas;150110;Isabel Flores de Oliva
LINESTRING (-77.0211035 -12.1428778, -77.0209171 -12.143119, -77.0206663 -12.1434088, -77.0204168 -12.1437169, -77.0201996 -12.1439804, -77.0199528 -12.1442688, -77.0196832 -12.1445966, -77.0194539 -12.1448968, -77.0192206 -12.145201, -77.0191803 -12.1452692, -77.0191468 -12.1453282, -77.0191347 -12.1453833, -77.019132 -12.1454213);Jirón;Jirón Santa Rosa;Perú;Lima;Lima;Barranco;150104;Isabel Flores de Oliva
LINESTRING (-77.0848418 -12.0863778, -77.0845709 -12.0858165, -77.084461 -12.0855464, -77.0843537 -12.0852919, -77.0841713 -12.0847543, -77.0840566 -12.0843969, -77.0840344 -12.0843785, -77.0840217 -12.0843372, -77.083962 -12.0840802, -77.0839104 -12.0838677, -77.083905 -12.0838395, -77.0838614 -12.083692, -77.0838386 -12.0836159, -77.0838024 -12.0834881, -77.083785 -12.0834291, -77.0837783 -12.0833963, -77.083785 -12.0833071, -77.083779 -12.083256, -77.0837736 -12.0832258, -77.0835825 -12.0821714, -77.0835087 -12.08182, -77.0835114 -12.0816954, -77.0834926 -12.0813781, -77.0834846 -12.081201, -77.0834645 -12.0810725, -77.0834417 -12.0808758, -77.0834216 -12.0807263);Jirón;Jirón Virginia Candamo;Perú;Lima;Lima;San Miguel;150136;Virginia Candamo de la Puente
LINESTRING (-77.0869856 -12.0251081, -77.0867197 -12.0246297, -77.0866124 -12.0244019, -77.0866713 -12.0243734, -77.0865424 -12.0241303, -77.0862859 -12.0236518, -77.0860562 -12.0231629);Jirón;Jirón Zoila Aurora Cáceres;Perú;Lima;Lima;San Martín de Porres;150135;Zoila Aurora Cáceres Moreno
LINESTRING (-77.0858522 -12.0227671, -77.085769 -12.0226334, -77.0857127 -12.0225022, -77.0856148 -12.0222215);Jirón;Jirón Zoila Cáceres;Perú;Lima;Lima;San Martín de Porres;150135;Zoila Aurora Cáceres Moreno
